task_id,duration_factor,expected_delay,uncertainty_sigma
C2012-08_329,1.0993,706.0627,60.1083
C2012-08_330,1.0981,747.0477,63.854
C2012-08_331,1.0775,770.7537,66.9441
C2012-08_332,1.1092,807.8615,66.7811
C2012-08_333,1.0709,845.3796,71.8468
C2012-08_334,1.1153,877.7305,76.0327
C2012-08_335,1.0536,901.3819,75.189
C2012-08_336,1.1175,951.8478,76.6261
C2012-08_289,1.0989,165.03,54.1399
C2012-08_290,1.1055,110.6805,22.5362
C2012-08_291,1.1167,145.4347,30.0366
C2012-08_292,1.1245,198.7385,37.5045
C2012-08_293,1.097,235.4512,40.6829
C2012-08_294,1.1413,277.3989,42.9433
C2012-08_295,1.0371,320.2854,44.6286
C2012-08_296,1.138,353.0855,43.0398
C2012-08_297,1.1106,402.7273,45.3893
C2012-08_298,1.1105,435.393,45.3374
C2012-08_299,1.1143,470.1831,48.7245
C2012-08_300,1.072,513.1017,53.158
C2012-08_301,1.0838,550.4914,52.4917
C2012-08_302,1.0543,587.6331,61.0038
C2012-08_303,1.064,633.2174,56.8772
C2012-08_304,1.1557,669.2834,64.7131
C2012-08_305,1.1312,708.1614,60.1108
C2012-08_306,1.0505,747.8562,63.5835
C2012-08_307,1.1294,772.8248,66.5295
C2012-08_308,1.1001,809.4631,66.9494
C2012-08_309,1.0677,846.4622,71.7365
C2012-08_310,1.1639,880.3537,76.0568
C2012-08_311,1.0588,902.3232,75.3313
C2012-08_312,1.0718,952.9958,76.8726
C2012-08_265,1.0671,166.1029,54.3139
C2012-08_266,1.1229,112.6473,22.9825
C2012-08_267,1.0724,146.5939,29.7378
C2012-08_268,1.1325,200.8584,37.3854
C2012-08_269,1.0713,236.592,40.5632
C2012-08_270,1.0509,278.2134,42.9436
C2012-08_271,1.075,321.4849,44.5431
C2012-08_272,1.0587,354.0248,42.8992
C2012-08_273,1.1121,404.5209,45.6039
C2012-08_274,1.1483,437.7654,45.4976
C2012-08_275,1.0997,471.7776,48.5629
C2012-08_276,1.0577,514.0241,53.2665
C2012-08_277,1.0791,551.7577,52.6773
C2012-08_278,1.1225,589.5934,61.276
C2012-08_279,1.0938,634.7177,56.76
C2012-08_280,1.0612,670.2625,64.7321
C2012-08_281,1.0536,709.0192,60.0516
C2012-08_282,1.1392,750.0839,63.6745
C2012-08_283,1.105,774.5055,66.6561
C2012-08_284,1.0873,810.8606,66.9075
C2012-08_285,1.049,847.246,71.5655
C2012-08_286,1.059,881.2974,76.1064
C2012-08_287,1.0783,903.5762,75.4946
C2012-08_288,1.1415,955.2597,77.0777
C2012-08_46,1.1984,762.0858,345.9852
C2012-08_47,1.242,929.224,316.1107
C2012-08_48,1.2037,782.1794,344.5887
C2012-08_49,1.1964,757.508,364.9647
C2012-08_53,1.2446,187.9964,82.8498
C2012-08_52,1.1965,123.8951,64.5104
C2012-08_51,1.2696,207.0908,72.1388
C2012-08_50,1.2465,189.2951,80.5932
C2012-08_56,1.2531,121.4775,45.4296
C2012-08_57,1.3493,507.8426,107.7483
C2012-08_58,1.2274,298.2623,90.08
C2012-08_502,1.1137,245.0712,64.5145
C2012-08_503,1.1212,245.4327,65.3242
C2012-08_504,1.1635,247.4632,65.1881
C2012-08_505,1.0778,243.3487,65.5452
C2012-08_506,1.1444,246.5466,64.0
C2012-08_507,1.0983,244.3314,64.19
C2012-08_508,1.0939,244.1223,66.1502
C2012-08_509,1.1362,246.1526,64.792
C2012-08_510,1.1173,245.245,65.5711
C2012-08_511,1.1829,248.3946,65.4184
C2012-08_512,1.0782,243.3697,64.9263
C2012-08_513,1.1458,246.6143,65.1173
C2012-08_514,1.0923,244.0469,64.5876
C2012-08_515,1.1014,244.484,65.2361
C2012-08_516,1.0781,243.3614,64.781
C2012-08_517,1.0595,242.4712,63.9239
C2012-08_518,1.0708,243.0128,64.0854
C2012-08_519,1.1397,246.3194,64.5756
C2012-08_520,1.1014,244.4834,65.584
C2012-08_521,1.1006,244.4444,65.691
C2012-08_522,1.076,243.2641,65.0736
C2012-08_523,1.1686,247.7055,65.0398
C2012-08_524,1.1567,247.1366,65.1269
C2012-08_525,1.1734,247.937,64.7404
C2012-08_478,1.1134,246.8855,64.4162
C2012-08_479,1.1438,247.7334,65.6869
C2012-08_480,1.14,249.7025,65.0773
C2012-08_481,1.1241,245.335,65.4692
C2012-08_482,1.1089,248.2896,64.0086
C2012-08_483,1.1157,246.1833,64.3385
C2012-08_484,1.0774,245.3602,66.3744
C2012-08_485,1.086,247.529,64.5471
C2012-08_486,1.0821,246.5582,65.7287
C2012-08_487,1.1034,250.0494,65.7125
C2012-08_488,1.102,245.0024,64.9668
C2012-08_489,1.1346,248.7676,65.0716
C2012-08_490,1.0432,244.7382,64.6238
C2012-08_491,1.0584,245.418,65.3441
C2012-08_492,1.0801,244.6428,64.9976
C2012-08_493,1.062,243.4631,64.2027
C2012-08_494,1.0684,244.1079,63.8864
C2012-08_495,1.1048,247.9969,64.3858
C2012-08_496,1.1363,252.8599,62.6801
C2012-08_497,1.1305,316.2578,62.1281
C2012-08_498,1.1194,485.1556,71.4131
C2012-08_499,1.1066,663.0024,76.3466
C2012-08_500,1.0241,823.9621,75.1709
C2012-08_501,1.1274,957.2979,76.8882
C2012-08_454,1.21,1270.513,96.7192
C2012-08_455,1.1345,1266.887,96.7865
C2012-08_456,1.1559,1267.9128,96.0127
C2012-08_457,1.1354,1266.9316,96.6115
C2012-08_458,1.1954,1269.8109,96.5435
C2012-08_459,1.154,1267.8227,96.3563
C2012-08_460,1.1768,1268.9182,95.2149
C2012-08_461,1.1993,1269.9995,96.4018
C2012-08_462,1.2105,1270.536,97.5752
C2012-08_463,1.2279,1271.3684,95.7367
C2012-08_464,1.1767,1268.9155,96.2238
C2012-08_465,1.1603,1268.125,95.7176
C2012-08_466,1.1554,1267.889,97.6823
C2012-08_467,1.2118,1270.596,96.4854
C2012-08_468,1.2179,1270.8908,97.0215
C2012-08_469,1.2015,1270.1056,97.8373
C2012-08_470,1.1995,1270.0065,96.8892
C2012-08_471,1.2153,1270.7658,97.0541
C2012-08_472,1.1891,1269.5097,97.1155
C2012-08_473,1.2371,1271.8127,96.6155
C2012-08_474,1.1995,1270.0093,96.8772
C2012-08_475,1.2261,1271.2827,96.1518
C2012-08_476,1.2088,1270.4528,97.1974
C2012-08_477,1.1641,1268.3081,97.3952
C2012-08_430,1.3036,1294.7998,96.7445
C2012-08_431,1.2947,1290.4664,97.4974
C2012-08_432,1.2733,1289.7751,96.6065
C2012-08_433,1.2236,1284.8202,97.3368
C2012-08_434,1.3119,1294.7649,95.6259
C2012-08_435,1.2285,1286.1035,93.7124
C2012-08_436,1.2886,1292.0065,95.6521
C2012-08_437,1.2538,1290.3012,96.4538
C2012-08_438,1.3095,1295.2961,98.1909
C2012-08_439,1.2431,1290.8134,95.9227
C2012-08_440,1.2474,1288.7074,96.6283
C2012-08_441,1.2292,1286.4599,94.6224
C2012-08_442,1.2999,1291.8795,98.8111
C2012-08_443,1.2427,1290.0133,98.2343
C2012-08_444,1.2525,1291.0904,97.3894
C2012-08_445,1.2179,1287.5359,98.899
C2012-08_446,1.2278,1288.2308,99.6225
C2012-08_447,1.2467,1290.5005,96.4863
C2012-08_448,1.2195,1287.0732,97.9253
C2012-08_449,1.2788,1294.1174,96.2834
C2012-08_450,1.2604,1290.8408,94.2955
C2012-08_451,1.2094,1288.0309,98.0271
C2012-08_452,1.2368,1289.3995,99.9804
C2012-08_453,1.2851,1291.1136,97.4499
C2012-08_406,1.2981,1318.6505,97.0318
C2012-08_407,1.2535,1310.7459,97.3077
C2012-08_408,1.2303,1308.2012,98.6906
C2012-08_409,1.2199,1302.4102,97.0862
C2012-08_410,1.2384,1313.8371,94.3233
C2012-08_411,1.2518,1306.2487,97.1674
C2012-08_412,1.2221,1309.7748,98.0188
C2012-08_413,1.2608,1311.1634,95.4799
C2012-08_414,1.2941,1318.8227,97.672
C2012-08_415,1.2838,1313.5152,96.4027
C2012-08_416,1.2184,1306.1797,96.6005
C2012-08_417,1.297,1310.2175,95.6827
C2012-08_418,1.2192,1309.4193,98.8071
C2012-08_419,1.305,1314.4134,98.7107
C2012-08_421,1.2911,1310.8267,98.7905
C2012-08_420,1.2521,1311.2567,96.7804
C2012-08_422,1.2429,1307.6601,99.1242
C2012-08_423,1.289,1313.6176,96.7812
C2012-08_424,1.223,1304.9163,97.8046
C2012-08_425,1.2841,1316.8429,96.5977
C2012-08_426,1.2404,1310.0754,94.7925
C2012-08_427,1.2822,1310.6069,96.4087
C2012-08_428,1.244,1308.9211,99.329
C2012-08_429,1.2913,1314.4182,97.3503
C2012-08_75,1.2117,135.494,58.7709
C2012-08_76,1.2505,175.5662,61.0297
C2012-08_77,1.1398,180.0406,61.3391
C2012-08_82,1.1213,178.0499,48.0682
C2012-08_81,1.094,179.5546,47.9646
C2012-08_84,1.2388,573.177,230.1417
C2012-08_85,1.2478,118.9361,48.1334
C2012-08_86,1.2082,218.8708,60.4339
C2012-08_87,1.2822,291.1153,63.1688
C2012-08_88,1.2996,367.8023,65.9244
C2012-08_89,1.0534,369.5656,65.7093
C2012-08_90,1.2717,630.3981,138.225
C2012-08_91,1.2756,674.4939,137.6446
C2012-08_94,1.1112,676.2725,137.7973
C2012-08_95,1.1213,678.213,137.7922
C2012-08_100,1.1132,681.8358,137.596
C2012-08_101,1.2358,727.1002,139.0229
C2012-08_102,1.1217,730.9959,138.281
C2012-08_104,1.2822,541.8906,175.4943
C2012-08_105,1.1737,555.7895,174.2716
C2012-08_106,1.0512,556.609,174.0447
C2012-08_107,1.0768,557.838,174.1925
C2012-08_108,1.1945,1104.6276,97.4243
C2012-08_109,1.3322,1210.3983,98.2805
C2012-08_110,1.1966,1241.8544,95.8519
C2012-08_111,1.1781,1247.5548,95.2263
C2012-08_112,1.2012,1260.4315,96.571
C2012-08_126,1.1387,4.4579,2.6103
C2012-08_128,1.2142,240.157,122.1751
C2012-08_129,1.2787,178.3454,73.0792
C2012-08_130,1.1487,11.9466,6.1991
C2012-08_131,1.111,185.4515,73.9146
C2012-08_133,1.2466,19.7287,7.3683
C2012-08_134,1.1604,32.5576,11.051
C2012-08_136,1.2193,210.5156,86.1677
C2012-08_193,1.2349,229.3051,85.1772
C2012-08_137,1.2426,58.2157,23.0429
C2012-08_138,1.119,235.0176,84.4894
C2012-08_139,1.1914,241.1414,84.1878
C2012-08_140,1.1553,253.5646,82.8999
C2012-08_141,1.0845,256.2675,82.4225
C2012-08_194,1.1018,257.8966,82.4603
C2012-08_149,1.2555,226.3394,73.2847
C2012-08_150,1.1102,187.215,73.9247
C2012-08_195,1.1707,189.9463,74.4665
C2012-08_151,1.1638,197.8076,75.141
C2012-08_152,1.1077,679.9357,137.7604
C2012-08_153,1.113,683.5531,136.7598
C2012-08_154,1.1497,685.9483,136.8695
C2012-08_156,1.0353,0.9467,1.0371
C2012-08_157,1.0778,199.0531,75.1319
C2012-08_158,1.0835,200.3898,75.506
