task_id,baseline_start,baseline_end,predecessors,successors
C2012-08_257,2013-07-28 06:00:00,,['C2012-08_233'],[]
C2012-08_258,2013-08-01 06:00:00,,['C2012-08_234'],[]
C2012-08_259,2013-08-05 06:00:00,,['C2012-08_235'],[]
C2012-08_260,2013-08-09 06:00:00,,['C2012-08_236'],[]
C2012-08_261,2013-08-17 06:00:00,,['C2012-08_237'],[]
C2012-08_262,2013-08-13 06:00:00,,['C2012-08_238'],[]
C2012-08_263,2013-08-21 06:00:00,,['C2012-08_239'],[]
C2012-08_264,2013-08-25 06:00:00,,['C2012-08_240'],[]
C2012-08_21,2013-02-04 06:00:00,,[],[]
C2012-08_23,2013-02-04 06:00:00,,[],[]
C2012-08_25,2013-03-16 06:00:00,,"['C2012-08_21', 'C2012-08_23']",[]
C2012-08_337,2013-03-25 06:00:00,,['C2012-08_25'],[]
C2012-08_338,2013-04-03 06:00:00,,['C2012-08_337'],[]
C2012-08_339,2013-04-12 06:00:00,,['C2012-08_338'],[]
C2012-08_340,2013-04-21 06:00:00,,['C2012-08_339'],[]
C2012-08_341,2013-04-30 06:00:00,,['C2012-08_340'],[]
C2012-08_342,2013-05-09 06:00:00,,['C2012-08_341'],[]
C2012-08_343,2013-05-18 06:00:00,,['C2012-08_342'],[]
C2012-08_344,2013-05-27 06:00:00,,['C2012-08_343'],[]
C2012-08_345,2013-06-05 06:00:00,,['C2012-08_344'],[]
C2012-08_346,2013-06-14 06:00:00,,['C2012-08_345'],[]
C2012-08_347,2013-06-23 06:00:00,,['C2012-08_346'],[]
C2012-08_348,2013-07-02 06:00:00,,['C2012-08_347'],[]
C2012-08_349,2013-07-11 06:00:00,,['C2012-08_348'],[]
C2012-08_350,2013-07-20 06:00:00,,['C2012-08_349'],[]
C2012-08_351,2013-07-29 06:00:00,,['C2012-08_350'],[]
C2012-08_352,2013-08-07 06:00:00,,['C2012-08_351'],[]
C2012-08_353,2013-08-16 06:00:00,,['C2012-08_352'],[]
C2012-08_354,2013-08-25 06:00:00,,['C2012-08_353'],[]
C2012-08_355,2013-09-03 06:00:00,,['C2012-08_354'],[]
C2012-08_356,2013-09-12 06:00:00,,['C2012-08_355'],[]
C2012-08_357,2013-09-21 06:00:00,,['C2012-08_356'],[]
C2012-08_358,2013-09-30 06:00:00,,['C2012-08_357'],[]
C2012-08_359,2013-10-09 06:00:00,,['C2012-08_358'],[]
C2012-08_27,2013-02-13 06:00:00,,[],[]
C2012-08_29,2013-03-25 06:00:00,,"['C2012-08_25', 'C2012-08_27']",[]
C2012-08_360,2013-04-03 06:00:00,,"['C2012-08_337', 'C2012-08_27']",[]
C2012-08_361,2013-04-12 06:00:00,,"['C2012-08_338', 'C2012-08_27']",[]
C2012-08_362,2013-04-21 06:00:00,,"['C2012-08_339', 'C2012-08_27']",[]
C2012-08_363,2013-04-30 06:00:00,,"['C2012-08_340', 'C2012-08_27']",[]
C2012-08_364,2013-05-09 06:00:00,,"['C2012-08_341', 'C2012-08_27']",[]
C2012-08_365,2013-05-18 06:00:00,,"['C2012-08_342', 'C2012-08_27']",[]
C2012-08_366,2013-05-27 06:00:00,,"['C2012-08_343', 'C2012-08_27']",[]
C2012-08_367,2013-06-05 06:00:00,,"['C2012-08_344', 'C2012-08_27']",[]
C2012-08_368,2013-06-14 06:00:00,,"['C2012-08_345', 'C2012-08_27']",[]
C2012-08_369,2013-06-23 06:00:00,,"['C2012-08_346', 'C2012-08_27']",[]
C2012-08_370,2013-07-02 06:00:00,,"['C2012-08_347', 'C2012-08_27']",[]
C2012-08_371,2013-07-11 06:00:00,,"['C2012-08_348', 'C2012-08_27']",[]
C2012-08_372,2013-07-20 06:00:00,,"['C2012-08_349', 'C2012-08_27']",[]
C2012-08_373,2013-07-29 06:00:00,,"['C2012-08_350', 'C2012-08_27']",[]
C2012-08_374,2013-08-07 06:00:00,,"['C2012-08_351', 'C2012-08_27']",[]
C2012-08_375,2013-08-16 06:00:00,,"['C2012-08_352', 'C2012-08_27']",[]
C2012-08_376,2013-08-25 06:00:00,,"['C2012-08_353', 'C2012-08_27']",[]
C2012-08_377,2013-09-03 06:00:00,,"['C2012-08_354', 'C2012-08_27']",[]
C2012-08_378,2013-09-12 06:00:00,,"['C2012-08_355', 'C2012-08_27']",[]
C2012-08_379,2013-09-21 06:00:00,,"['C2012-08_356', 'C2012-08_27']",[]
C2012-08_380,2013-09-30 06:00:00,,"['C2012-08_357', 'C2012-08_27']",[]
C2012-08_381,2013-10-09 06:00:00,,"['C2012-08_358', 'C2012-08_27']",[]
C2012-08_382,2013-10-18 06:00:00,,"['C2012-08_359', 'C2012-08_27']",[]
C2012-08_31,2013-04-03 06:00:00,,['C2012-08_29'],[]
C2012-08_383,2013-04-12 06:00:00,,['C2012-08_360'],[]
C2012-08_384,2013-04-21 06:00:00,,['C2012-08_361'],[]
C2012-08_385,2013-04-30 06:00:00,,['C2012-08_362'],[]
C2012-08_386,2013-05-09 06:00:00,,['C2012-08_363'],[]
C2012-08_387,2013-05-18 06:00:00,,['C2012-08_364'],[]
C2012-08_388,2013-05-27 06:00:00,,['C2012-08_365'],[]
C2012-08_389,2013-06-05 06:00:00,,['C2012-08_366'],[]
C2012-08_390,2013-06-14 06:00:00,,['C2012-08_367'],[]
C2012-08_391,2013-06-23 06:00:00,,['C2012-08_368'],[]
C2012-08_392,2013-07-02 06:00:00,,['C2012-08_369'],[]
C2012-08_393,2013-07-11 06:00:00,,['C2012-08_370'],[]
C2012-08_394,2013-07-20 06:00:00,,['C2012-08_371'],[]
C2012-08_395,2013-07-29 06:00:00,,['C2012-08_372'],[]
C2012-08_396,2013-08-07 06:00:00,,['C2012-08_373'],[]
C2012-08_397,2013-08-16 06:00:00,,['C2012-08_374'],[]
C2012-08_398,2013-08-25 06:00:00,,['C2012-08_375'],[]
C2012-08_399,2013-09-03 06:00:00,,['C2012-08_376'],[]
C2012-08_400,2013-09-12 06:00:00,,['C2012-08_377'],[]
C2012-08_401,2013-09-21 06:00:00,,['C2012-08_378'],[]
C2012-08_402,2013-09-30 06:00:00,,['C2012-08_379'],[]
C2012-08_403,2013-10-09 06:00:00,,['C2012-08_380'],[]
C2012-08_404,2013-10-18 06:00:00,,['C2012-08_381'],[]
C2012-08_405,2013-10-27 06:00:00,,['C2012-08_382'],[]
C2012-08_313,2013-05-04 06:00:00,,['C2012-08_31'],[]
C2012-08_314,2013-05-03 06:00:00,,['C2012-08_383'],[]
C2012-08_315,2013-04-29 06:00:00,,['C2012-08_384'],[]
C2012-08_316,2013-05-02 06:00:00,,['C2012-08_385'],[]
C2012-08_317,2013-05-14 06:00:00,,['C2012-08_386'],[]
C2012-08_318,2013-05-19 06:00:00,,['C2012-08_387'],[]
C2012-08_319,2013-05-28 06:00:00,,['C2012-08_388'],[]
C2012-08_320,2013-06-06 06:00:00,,['C2012-08_389'],[]
C2012-08_321,2013-06-15 06:00:00,,['C2012-08_390'],[]
C2012-08_322,2013-06-24 06:00:00,,['C2012-08_391'],[]
C2012-08_323,2013-07-03 06:00:00,,['C2012-08_392'],[]
C2012-08_324,2013-07-12 06:00:00,,['C2012-08_393'],[]
C2012-08_325,2013-07-21 06:00:00,,['C2012-08_394'],[]
C2012-08_326,2013-07-30 06:00:00,,['C2012-08_395'],[]
C2012-08_327,2013-08-08 06:00:00,,['C2012-08_396'],[]
C2012-08_328,2013-08-17 06:00:00,,['C2012-08_397'],[]
C2012-08_329,2013-08-26 06:00:00,,['C2012-08_398'],[]
C2012-08_330,2013-09-04 06:00:00,,['C2012-08_399'],[]
C2012-08_331,2013-09-13 06:00:00,,['C2012-08_400'],[]
C2012-08_332,2013-09-22 06:00:00,,['C2012-08_401'],[]
C2012-08_333,2013-10-01 06:00:00,,['C2012-08_402'],[]
C2012-08_334,2013-10-10 06:00:00,,['C2012-08_403'],[]
C2012-08_335,2013-10-19 06:00:00,,['C2012-08_404'],[]
C2012-08_336,2013-10-28 06:00:00,,['C2012-08_405'],[]
C2012-08_289,2013-06-09 06:00:00,,"['C2012-08_313', 'C2012-08_241']",[]
C2012-08_290,2013-06-13 06:00:00,,"['C2012-08_314', 'C2012-08_242']",[]
C2012-08_291,2013-06-17 06:00:00,,"['C2012-08_315', 'C2012-08_243']",[]
C2012-08_292,2013-06-21 06:00:00,,"['C2012-08_316', 'C2012-08_244']",[]
C2012-08_293,2013-06-26 06:00:00,,"['C2012-08_317', 'C2012-08_245']",[]
C2012-08_294,2013-06-30 06:00:00,,"['C2012-08_318', 'C2012-08_246']",[]
C2012-08_295,2013-07-04 06:00:00,,"['C2012-08_319', 'C2012-08_247']",[]
C2012-08_296,2013-07-08 06:00:00,,"['C2012-08_320', 'C2012-08_248']",[]
C2012-08_297,2013-07-12 06:00:00,,"['C2012-08_321', 'C2012-08_249']",[]
C2012-08_298,2013-07-16 06:00:00,,"['C2012-08_322', 'C2012-08_250']",[]
C2012-08_299,2013-07-20 06:00:00,,"['C2012-08_323', 'C2012-08_251']",[]
C2012-08_300,2013-07-24 06:00:00,,"['C2012-08_324', 'C2012-08_252']",[]
C2012-08_301,2013-07-28 06:00:00,,"['C2012-08_325', 'C2012-08_253']",[]
C2012-08_302,2013-08-01 06:00:00,,"['C2012-08_326', 'C2012-08_254']",[]
C2012-08_303,2013-08-09 06:00:00,,"['C2012-08_327', 'C2012-08_255']",[]
C2012-08_304,2013-08-18 06:00:00,,"['C2012-08_328', 'C2012-08_256']",[]
C2012-08_305,2013-08-27 06:00:00,,"['C2012-08_329', 'C2012-08_257']",[]
C2012-08_306,2013-09-05 06:00:00,,"['C2012-08_330', 'C2012-08_258']",[]
C2012-08_307,2013-09-14 06:00:00,,"['C2012-08_331', 'C2012-08_259']",[]
C2012-08_308,2013-09-23 06:00:00,,"['C2012-08_332', 'C2012-08_260']",[]
C2012-08_309,2013-10-02 06:00:00,,"['C2012-08_333', 'C2012-08_261']",[]
C2012-08_310,2013-10-11 06:00:00,,"['C2012-08_334', 'C2012-08_262']",[]
C2012-08_311,2013-10-20 06:00:00,,"['C2012-08_335', 'C2012-08_263']",[]
C2012-08_312,2013-10-29 06:00:00,,"['C2012-08_336', 'C2012-08_264']",[]
C2012-08_265,2013-06-10 06:00:00,,['C2012-08_289'],[]
C2012-08_266,2013-06-14 06:00:00,,['C2012-08_290'],[]
C2012-08_267,2013-06-18 06:00:00,,['C2012-08_291'],[]
C2012-08_268,2013-06-22 06:00:00,,['C2012-08_292'],[]
C2012-08_269,2013-06-27 06:00:00,,['C2012-08_293'],[]
C2012-08_270,2013-07-01 06:00:00,,['C2012-08_294'],[]
C2012-08_271,2013-07-05 06:00:00,,['C2012-08_295'],[]
C2012-08_272,2013-07-09 06:00:00,,['C2012-08_296'],[]
C2012-08_273,2013-07-13 06:00:00,,['C2012-08_297'],[]
C2012-08_274,2013-07-17 06:00:00,,['C2012-08_298'],[]
C2012-08_275,2013-07-21 06:00:00,,['C2012-08_299'],[]
C2012-08_276,2013-07-25 06:00:00,,['C2012-08_300'],[]
C2012-08_277,2013-07-29 06:00:00,,['C2012-08_301'],[]
C2012-08_278,2013-08-02 06:00:00,,['C2012-08_302'],[]
C2012-08_279,2013-08-10 06:00:00,,['C2012-08_303'],[]
C2012-08_280,2013-08-19 06:00:00,,['C2012-08_304'],[]
C2012-08_281,2013-08-28 06:00:00,,['C2012-08_305'],[]
C2012-08_282,2013-09-06 06:00:00,,['C2012-08_306'],[]
C2012-08_283,2013-09-15 06:00:00,,['C2012-08_307'],[]
C2012-08_284,2013-09-24 06:00:00,,['C2012-08_308'],[]
C2012-08_285,2013-10-03 06:00:00,,['C2012-08_309'],[]
C2012-08_286,2013-10-12 06:00:00,,['C2012-08_310'],[]
C2012-08_287,2013-10-21 06:00:00,,['C2012-08_311'],[]
C2012-08_288,2013-10-30 06:00:00,,['C2012-08_312'],[]
C2012-08_46,2013-05-12 06:00:00,,[],[]
C2012-08_47,2013-02-04 18:00:00,,[],[]
C2012-08_48,2013-03-16 07:00:00,,[],[]
C2012-08_49,2013-03-16 07:00:00,,[],[]
C2012-08_53,2013-11-28 06:00:00,,['C2012-08_46'],[]
C2012-08_52,2013-08-23 18:00:00,,['C2012-08_47'],[]
C2012-08_51,2013-10-02 07:00:00,,['C2012-08_48'],[]
C2012-08_50,2013-10-02 07:00:00,,['C2012-08_49'],[]
C2012-08_56,2013-03-18 06:00:00,,[],[]
C2012-08_57,2013-11-19 07:00:00,,"['C2012-08_51', 'C2012-08_50', 'C2012-08_56']",[]
C2012-08_58,2013-10-02 07:00:00,,"['C2012-08_52', 'C2012-08_56']",[]
C2012-08_502,2013-12-18 06:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_503,2014-01-06 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_504,2014-01-10 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_505,2014-01-14 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_506,2014-01-18 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_507,2014-01-22 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_508,2014-01-26 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_509,2014-01-30 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_510,2014-02-03 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_511,2014-02-07 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_512,2014-02-11 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_513,2014-02-15 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_514,2014-02-19 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_515,2014-02-23 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_516,2014-02-27 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_517,2014-03-03 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_518,2014-03-07 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_519,2014-03-11 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_520,2014-03-15 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_521,2014-03-19 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_522,2014-03-23 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_523,2014-03-27 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_524,2014-03-31 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_525,2014-04-04 07:00:00,,"['C2012-08_53', 'C2012-08_57', 'C2012-08_58']",[]
C2012-08_478,2013-12-21 06:00:00,,"['C2012-08_502', 'C2012-08_265']",[]
C2012-08_479,2014-01-09 07:00:00,,"['C2012-08_503', 'C2012-08_266']",[]
C2012-08_480,2014-01-13 07:00:00,,"['C2012-08_504', 'C2012-08_267']",[]
C2012-08_481,2014-01-17 07:00:00,,"['C2012-08_505', 'C2012-08_268']",[]
C2012-08_482,2014-01-21 07:00:00,,"['C2012-08_506', 'C2012-08_269']",[]
C2012-08_483,2014-01-25 07:00:00,,"['C2012-08_507', 'C2012-08_270']",[]
C2012-08_484,2014-01-29 07:00:00,,"['C2012-08_508', 'C2012-08_271']",[]
C2012-08_485,2014-02-02 07:00:00,,"['C2012-08_509', 'C2012-08_272']",[]
C2012-08_486,2014-02-06 07:00:00,,"['C2012-08_510', 'C2012-08_273']",[]
C2012-08_487,2014-02-10 07:00:00,,"['C2012-08_511', 'C2012-08_274']",[]
C2012-08_488,2014-02-14 07:00:00,,"['C2012-08_512', 'C2012-08_275']",[]
C2012-08_489,2014-02-18 07:00:00,,"['C2012-08_513', 'C2012-08_276']",[]
C2012-08_490,2014-02-22 07:00:00,,"['C2012-08_514', 'C2012-08_277']",[]
C2012-08_491,2014-02-26 07:00:00,,"['C2012-08_515', 'C2012-08_278']",[]
C2012-08_492,2014-03-02 07:00:00,,"['C2012-08_516', 'C2012-08_279']",[]
C2012-08_493,2014-03-06 07:00:00,,"['C2012-08_517', 'C2012-08_280']",[]
C2012-08_494,2014-03-10 07:00:00,,"['C2012-08_518', 'C2012-08_281']",[]
C2012-08_495,2014-03-14 07:00:00,,"['C2012-08_519', 'C2012-08_282']",[]
C2012-08_496,2014-03-18 07:00:00,,"['C2012-08_520', 'C2012-08_283']",[]
C2012-08_497,2014-03-22 07:00:00,,"['C2012-08_521', 'C2012-08_284']",[]
C2012-08_498,2014-03-26 07:00:00,,"['C2012-08_522', 'C2012-08_285']",[]
C2012-08_499,2014-03-30 07:00:00,,"['C2012-08_523', 'C2012-08_286']",[]
C2012-08_500,2014-04-03 07:00:00,,"['C2012-08_524', 'C2012-08_287']",[]
C2012-08_501,2014-04-07 07:00:00,,"['C2012-08_525', 'C2012-08_288']",[]
C2012-08_454,2014-01-08 06:00:00,,"['C2012-08_112', 'C2012-08_478']",[]
C2012-08_455,2014-01-12 07:00:00,,"['C2012-08_112', 'C2012-08_479']",[]
C2012-08_456,2014-01-16 07:00:00,,"['C2012-08_112', 'C2012-08_480']",[]
C2012-08_457,2014-01-20 07:00:00,,"['C2012-08_112', 'C2012-08_481']",[]
C2012-08_458,2014-01-24 07:00:00,,"['C2012-08_112', 'C2012-08_482']",[]
C2012-08_459,2014-01-28 07:00:00,,"['C2012-08_112', 'C2012-08_483']",[]
C2012-08_460,2014-02-02 07:00:00,,"['C2012-08_112', 'C2012-08_484']",[]
C2012-08_461,2014-02-05 07:00:00,,"['C2012-08_112', 'C2012-08_485']",[]
C2012-08_462,2014-02-09 07:00:00,,"['C2012-08_112', 'C2012-08_486']",[]
C2012-08_463,2014-02-13 07:00:00,,"['C2012-08_112', 'C2012-08_487']",[]
C2012-08_464,2014-02-17 07:00:00,,"['C2012-08_112', 'C2012-08_488']",[]
C2012-08_465,2014-02-21 07:00:00,,"['C2012-08_112', 'C2012-08_489']",[]
C2012-08_466,2014-02-25 07:00:00,,"['C2012-08_112', 'C2012-08_490']",[]
C2012-08_467,2014-03-01 07:00:00,,"['C2012-08_112', 'C2012-08_491']",[]
C2012-08_468,2014-03-05 07:00:00,,"['C2012-08_112', 'C2012-08_492']",[]
C2012-08_469,2014-03-09 07:00:00,,"['C2012-08_112', 'C2012-08_493']",[]
C2012-08_470,2014-03-13 07:00:00,,"['C2012-08_112', 'C2012-08_494']",[]
C2012-08_471,2014-03-17 07:00:00,,"['C2012-08_112', 'C2012-08_495']",[]
C2012-08_472,2014-03-21 07:00:00,,"['C2012-08_112', 'C2012-08_496']",[]
C2012-08_473,2014-03-25 07:00:00,,"['C2012-08_112', 'C2012-08_497']",[]
C2012-08_474,2014-03-29 07:00:00,,"['C2012-08_112', 'C2012-08_498']",[]
C2012-08_475,2014-04-02 07:00:00,,"['C2012-08_112', 'C2012-08_499']",[]
C2012-08_476,2014-04-06 07:00:00,,"['C2012-08_112', 'C2012-08_500']",[]
C2012-08_477,2014-04-10 07:00:00,,"['C2012-08_112', 'C2012-08_501']",[]
C2012-08_430,2014-01-11 06:00:00,,"['C2012-08_154', 'C2012-08_454']",[]
C2012-08_431,2014-01-16 06:00:00,,"['C2012-08_154', 'C2012-08_455']",[]
