task_id,baseline_start,duration_hours,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost,task_name,total_cost
C2012-08_544,2013-07-28T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 18,30536.26
C2012-08_545,2013-08-01T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 19,30536.26
C2012-08_546,2013-08-05T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 20,30536.26
C2012-08_547,2013-08-13T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 21,30536.26
C2012-08_548,2013-08-09T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 22,30536.26
C2012-08_549,2013-08-17T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 23,30536.26
C2012-08_550,2013-08-21T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 24,30536.26
C2012-08_12,2013-05-17T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,OTS: drive 4 pin-piles for OTS foundation into seabed,292489.03
C2012-08_13,2013-05-21T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine1: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_14,2013-05-25T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine2: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_196,2013-05-29T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine3: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_197,2013-06-02T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine4: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_198,2013-06-06T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine5: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_199,2013-06-11T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine6: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_200,2013-06-15T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine7: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_201,2013-06-19T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine8: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_202,2013-06-23T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine9: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_203,2013-06-27T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine10: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_204,2013-07-01T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine11: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_205,2013-07-05T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine12: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_206,2013-07-09T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine13: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_207,2013-07-13T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine14: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_208,2013-07-17T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine15: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_209,2013-07-21T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine16: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_210,2013-07-25T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine17: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_211,2013-07-29T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine18: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_212,2013-08-02T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine19: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_213,2013-08-06T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine20: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_214,2013-08-14T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine21: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_215,2013-08-10T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine22: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_216,2013-08-18T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine23: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_217,2013-08-22T06:00:00+00:00,32.0,60800.0,0.0,102400.0,25600.0,5817.6,5992.13,3994.75,1997.38,1997.38,998.69,2996.06,0.0,3994.75,3994.75,1997.38,1997.38,2996.06,1997.38,4993.44,3994.75,2996.06,1997.38,2996.06,4993.44,3994.75,4993.44,1997.38,998.69,2996.06,1997.38,3994.75,1997.38,3994.75,3994.75,2996.06,2996.06,1997.38,1997.38,Turbine24: drive 4 pin-piles for jacket foundation into seabed,292489.03
C2012-08_16,2013-05-19T06:00:00+00:00,16.0,27840.0,0.0,53120.0,13280.0,2906.88,2994.09,1996.06,998.03,998.03,499.01,1497.04,0.0,1996.06,1996.06,998.03,998.03,1497.04,998.03,2495.07,1996.06,1497.04,998.03,1497.04,2495.07,1996.06,2495.07,998.03,499.01,1497.04,998.03,1996.06,998.03,1996.06,1996.06,1497.04,1497.04,998.03,998.03,Dredging and cleaning of pin-piles,146050.29
C2012-08_17,2013-05-20T06:00:00+00:00,16.0,29120.0,0.0,51200.0,12800.0,2870.4,2956.51,1971.01,985.5,985.5,492.75,1478.26,0.0,1971.01,1971.01,985.5,985.5,1478.26,985.5,2463.76,1971.01,1478.26,985.5,1478.26,2463.76,1971.01,2463.76,985.5,492.75,1478.26,985.5,1971.01,985.5,1971.01,1971.01,1478.26,1478.26,985.5,985.5,Install pin-pile covers on the piles,144280.09
C2012-08_162,2013-05-23T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 1,242736.39
