task_id,role,quantity,hourly_rate,type
200,Vessel Buzzard,1.0,3200.0,Renewable
201,Laborer,22.0,40.0,Renewable
201,Skipper,1.0,60.0,Renewable
201,Engineer,6.0,160.0,Renewable
201,Vessel Buzzard,1.0,3200.0,Renewable
202,Laborer,22.0,40.0,Renewable
202,Skipper,1.0,60.0,Renewable
202,Engineer,6.0,160.0,Renewable
202,Vessel Buzzard,1.0,3200.0,Renewable
203,Laborer,22.0,40.0,Renewable
203,Skipper,1.0,60.0,Renewable
203,Engineer,6.0,160.0,Renewable
203,Vessel Buzzard,1.0,3200.0,Renewable
204,Laborer,22.0,40.0,Renewable
204,Skipper,1.0,60.0,Renewable
204,Engineer,6.0,160.0,Renewable
204,Vessel Buzzard,1.0,3200.0,Renewable
205,Laborer,22.0,40.0,Renewable
205,Skipper,1.0,60.0,Renewable
205,Engineer,6.0,160.0,Renewable
205,Vessel Buzzard,1.0,3200.0,Renewable
206,Laborer,22.0,40.0,Renewable
206,Skipper,1.0,60.0,Renewable
206,Engineer,6.0,160.0,Renewable
206,Vessel Buzzard,1.0,3200.0,Renewable
207,Laborer,22.0,40.0,Renewable
207,Skipper,1.0,60.0,Renewable
207,Engineer,6.0,160.0,Renewable
207,Vessel Buzzard,1.0,3200.0,Renewable
208,Laborer,22.0,40.0,Renewable
208,Skipper,1.0,60.0,Renewable
208,Engineer,6.0,160.0,Renewable
208,Vessel Buzzard,1.0,3200.0,Renewable
209,Laborer,22.0,40.0,Renewable
209,Skipper,1.0,60.0,Renewable
209,Engineer,6.0,160.0,Renewable
209,Vessel Buzzard,1.0,3200.0,Renewable
210,Laborer,22.0,40.0,Renewable
210,Skipper,1.0,60.0,Renewable
210,Engineer,6.0,160.0,Renewable
210,Vessel Buzzard,1.0,3200.0,Renewable
211,Laborer,22.0,40.0,Renewable
211,Skipper,1.0,60.0,Renewable
211,Engineer,6.0,160.0,Renewable
211,Vessel Buzzard,1.0,3200.0,Renewable
212,Laborer,22.0,40.0,Renewable
212,Skipper,1.0,60.0,Renewable
212,Engineer,6.0,160.0,Renewable
212,Vessel Buzzard,1.0,3200.0,Renewable
213,Laborer,22.0,40.0,Renewable
213,Skipper,1.0,60.0,Renewable
213,Engineer,6.0,160.0,Renewable
213,Vessel Buzzard,1.0,3200.0,Renewable
214,Laborer,22.0,40.0,Renewable
214,Skipper,1.0,60.0,Renewable
214,Engineer,6.0,160.0,Renewable
214,Vessel Buzzard,1.0,3200.0,Renewable
215,Laborer,22.0,40.0,Renewable
215,Skipper,1.0,60.0,Renewable
215,Engineer,6.0,160.0,Renewable
215,Vessel Buzzard,1.0,3200.0,Renewable
216,Laborer,22.0,40.0,Renewable
216,Skipper,1.0,60.0,Renewable
216,Engineer,6.0,160.0,Renewable
216,Vessel Buzzard,1.0,3200.0,Renewable
217,Laborer,22.0,40.0,Renewable
217,Skipper,1.0,60.0,Renewable
217,Engineer,6.0,160.0,Renewable
217,Vessel Buzzard,1.0,3200.0,Renewable
16,Laborer,18.0,40.0,Renewable
16,Skipper,1.0,60.0,Renewable
16,Engineer,6.0,160.0,Renewable
16,Vessel Pompei,1.0,3320.0,Renewable
17,Laborer,20.0,40.0,Renewable
17,Skipper,1.0,60.0,Renewable
17,Engineer,6.0,160.0,Renewable
17,Vessel Buzzard,1.0,3200.0,Renewable
162,Laborer,18.0,40.0,Renewable
162,Skipper,1.0,60.0,Renewable
162,Engineer,6.0,160.0,Renewable
162,Vessel Pompei,1.0,3320.0,Renewable
218,Laborer,18.0,40.0,Renewable
218,Skipper,1.0,60.0,Renewable
218,Engineer,6.0,160.0,Renewable
218,Vessel Pompei,1.0,3320.0,Renewable
219,Laborer,18.0,40.0,Renewable
219,Skipper,1.0,60.0,Renewable
219,Engineer,6.0,160.0,Renewable
219,Vessel Pompei,1.0,3320.0,Renewable
220,Laborer,18.0,40.0,Renewable
220,Skipper,1.0,60.0,Renewable
220,Engineer,6.0,160.0,Renewable
220,Vessel Pompei,1.0,3320.0,Renewable
221,Laborer,18.0,40.0,Renewable
221,Skipper,1.0,60.0,Renewable
221,Engineer,6.0,160.0,Renewable
221,Vessel Pompei,1.0,3320.0,Renewable
222,Laborer,18.0,40.0,Renewable
222,Skipper,1.0,60.0,Renewable
222,Engineer,6.0,160.0,Renewable
222,Vessel Pompei,1.0,3320.0,Renewable
223,Laborer,18.0,40.0,Renewable
223,Skipper,1.0,60.0,Renewable
223,Engineer,6.0,160.0,Renewable
223,Vessel Pompei,1.0,3320.0,Renewable
224,Laborer,18.0,40.0,Renewable
224,Skipper,1.0,60.0,Renewable
224,Engineer,6.0,160.0,Renewable
224,Vessel Pompei,1.0,3320.0,Renewable
225,Laborer,18.0,40.0,Renewable
225,Skipper,1.0,60.0,Renewable
225,Engineer,6.0,160.0,Renewable
225,Vessel Pompei,1.0,3320.0,Renewable
226,Laborer,18.0,40.0,Renewable
226,Skipper,1.0,60.0,Renewable
226,Engineer,6.0,160.0,Renewable
226,Vessel Pompei,1.0,3320.0,Renewable
227,Laborer,18.0,40.0,Renewable
227,Skipper,1.0,60.0,Renewable
227,Engineer,6.0,160.0,Renewable
227,Vessel Pompei,1.0,3320.0,Renewable
228,Laborer,18.0,40.0,Renewable
228,Skipper,1.0,60.0,Renewable
228,Engineer,6.0,160.0,Renewable
228,Vessel Pompei,1.0,3320.0,Renewable
229,Laborer,18.0,40.0,Renewable
229,Skipper,1.0,60.0,Renewable
229,Engineer,6.0,160.0,Renewable
229,Vessel Pompei,1.0,3320.0,Renewable
230,Laborer,18.0,40.0,Renewable
230,Skipper,1.0,60.0,Renewable
230,Engineer,6.0,160.0,Renewable
230,Vessel Pompei,1.0,3320.0,Renewable
231,Laborer,18.0,40.0,Renewable
231,Skipper,1.0,60.0,Renewable
231,Engineer,6.0,160.0,Renewable
231,Vessel Pompei,1.0,3320.0,Renewable
232,Laborer,18.0,40.0,Renewable
232,Skipper,1.0,60.0,Renewable
232,Engineer,6.0,160.0,Renewable
232,Vessel Pompei,1.0,3320.0,Renewable
233,Laborer,18.0,40.0,Renewable
233,Skipper,1.0,60.0,Renewable
233,Engineer,6.0,160.0,Renewable
233,Vessel Pompei,1.0,3320.0,Renewable
234,Laborer,18.0,40.0,Renewable
234,Skipper,1.0,60.0,Renewable
234,Engineer,6.0,160.0,Renewable
234,Vessel Pompei,1.0,3320.0,Renewable
235,Laborer,18.0,40.0,Renewable
235,Skipper,1.0,60.0,Renewable
235,Engineer,6.0,160.0,Renewable
235,Vessel Pompei,1.0,3320.0,Renewable
236,Laborer,18.0,40.0,Renewable
236,Skipper,1.0,60.0,Renewable
236,Engineer,6.0,160.0,Renewable
236,Vessel Pompei,1.0,3320.0,Renewable
237,Laborer,18.0,40.0,Renewable
237,Skipper,1.0,60.0,Renewable
237,Engineer,6.0,160.0,Renewable
237,Vessel Pompei,1.0,3320.0,Renewable
238,Laborer,18.0,40.0,Renewable
238,Skipper,1.0,60.0,Renewable
238,Engineer,6.0,160.0,Renewable
238,Vessel Pompei,1.0,3320.0,Renewable
239,Laborer,18.0,40.0,Renewable
239,Skipper,1.0,60.0,Renewable
239,Engineer,6.0,160.0,Renewable
239,Vessel Pompei,1.0,3320.0,Renewable
240,Laborer,18.0,40.0,Renewable
240,Skipper,1.0,60.0,Renewable
240,Engineer,6.0,160.0,Renewable
240,Vessel Pompei,1.0,3320.0,Renewable
241,Laborer,20.0,40.0,Renewable
241,Skipper,1.0,60.0,Renewable
241,Engineer,6.0,160.0,Renewable
241,Vessel Buzzard,1.0,3200.0,Renewable
242,Laborer,20.0,40.0,Renewable
242,Skipper,1.0,60.0,Renewable
242,Engineer,6.0,160.0,Renewable
242,Vessel Buzzard,1.0,3200.0,Renewable
243,Laborer,20.0,40.0,Renewable
243,Skipper,1.0,60.0,Renewable
243,Engineer,6.0,160.0,Renewable
243,Vessel Buzzard,1.0,3200.0,Renewable
244,Laborer,20.0,40.0,Renewable
244,Skipper,1.0,60.0,Renewable
244,Engineer,6.0,160.0,Renewable
244,Vessel Buzzard,1.0,3200.0,Renewable
245,Laborer,20.0,40.0,Renewable
245,Skipper,1.0,60.0,Renewable
245,Engineer,6.0,160.0,Renewable
245,Vessel Buzzard,1.0,3200.0,Renewable
246,Laborer,20.0,40.0,Renewable
246,Skipper,1.0,60.0,Renewable
246,Engineer,6.0,160.0,Renewable
246,Vessel Buzzard,1.0,3200.0,Renewable
247,Laborer,20.0,40.0,Renewable
247,Skipper,1.0,60.0,Renewable
247,Engineer,6.0,160.0,Renewable
247,Vessel Buzzard,1.0,3200.0,Renewable
248,Laborer,20.0,40.0,Renewable
248,Skipper,1.0,60.0,Renewable
248,Engineer,6.0,160.0,Renewable
248,Vessel Buzzard,1.0,3200.0,Renewable
249,Laborer,20.0,40.0,Renewable
249,Skipper,1.0,60.0,Renewable
249,Engineer,6.0,160.0,Renewable
249,Vessel Buzzard,1.0,3200.0,Renewable
250,Laborer,20.0,40.0,Renewable
250,Skipper,1.0,60.0,Renewable
250,Engineer,6.0,160.0,Renewable
250,Vessel Buzzard,1.0,3200.0,Renewable
251,Laborer,20.0,40.0,Renewable
251,Skipper,1.0,60.0,Renewable
251,Engineer,6.0,160.0,Renewable
251,Vessel Buzzard,1.0,3200.0,Renewable
252,Laborer,20.0,40.0,Renewable
252,Skipper,1.0,60.0,Renewable
252,Engineer,6.0,160.0,Renewable
252,Vessel Buzzard,1.0,3200.0,Renewable
253,Laborer,20.0,40.0,Renewable
253,Skipper,1.0,60.0,Renewable
253,Engineer,6.0,160.0,Renewable
253,Vessel Buzzard,1.0,3200.0,Renewable
254,Laborer,20.0,40.0,Renewable
254,Skipper,1.0,60.0,Renewable
254,Engineer,6.0,160.0,Renewable
254,Vessel Buzzard,1.0,3200.0,Renewable
255,Laborer,20.0,40.0,Renewable
255,Skipper,1.0,60.0,Renewable
255,Engineer,6.0,160.0,Renewable
255,Vessel Buzzard,1.0,3200.0,Renewable
256,Laborer,20.0,40.0,Renewable
256,Skipper,1.0,60.0,Renewable
256,Engineer,6.0,160.0,Renewable
256,Vessel Buzzard,1.0,3200.0,Renewable
257,Laborer,20.0,40.0,Renewable
257,Skipper,1.0,60.0,Renewable
257,Engineer,6.0,160.0,Renewable
257,Vessel Buzzard,1.0,3200.0,Renewable
258,Laborer,20.0,40.0,Renewable
258,Skipper,1.0,60.0,Renewable
258,Engineer,6.0,160.0,Renewable
258,Vessel Buzzard,1.0,3200.0,Renewable
259,Laborer,20.0,40.0,Renewable
259,Skipper,1.0,60.0,Renewable
259,Engineer,6.0,160.0,Renewable
259,Vessel Buzzard,1.0,3200.0,Renewable
260,Laborer,20.0,40.0,Renewable
260,Skipper,1.0,60.0,Renewable
260,Engineer,6.0,160.0,Renewable
260,Vessel Buzzard,1.0,3200.0,Renewable
261,Laborer,20.0,40.0,Renewable
261,Skipper,1.0,60.0,Renewable
261,Engineer,6.0,160.0,Renewable
261,Vessel Buzzard,1.0,3200.0,Renewable
262,Laborer,20.0,40.0,Renewable
262,Skipper,1.0,60.0,Renewable
262,Engineer,6.0,160.0,Renewable
262,Vessel Buzzard,1.0,3200.0,Renewable
263,Laborer,20.0,40.0,Renewable
263,Skipper,1.0,60.0,Renewable
263,Engineer,6.0,160.0,Renewable
263,Vessel Buzzard,1.0,3200.0,Renewable
264,Laborer,20.0,40.0,Renewable
264,Skipper,1.0,60.0,Renewable
264,Engineer,6.0,160.0,Renewable
264,Vessel Buzzard,1.0,3200.0,Renewable
313,Laborer,6.0,40.0,Renewable
313,Skipper,1.0,60.0,Renewable
313,Towning tugs,1.0,450.0,Renewable
313,Transport barges,1.0,400.0,Renewable
313,Crane,2.0,200.0,Renewable
314,Laborer,6.0,40.0,Renewable
314,Skipper,1.0,60.0,Renewable
314,Towning tugs,1.0,450.0,Renewable
314,Transport barges,1.0,400.0,Renewable
314,Crane,2.0,200.0,Renewable
315,Laborer,6.0,40.0,Renewable
315,Skipper,1.0,60.0,Renewable
315,Towning tugs,1.0,450.0,Renewable
315,Transport barges,1.0,400.0,Renewable
315,Crane,2.0,200.0,Renewable
316,Laborer,6.0,40.0,Renewable
316,Skipper,1.0,60.0,Renewable
316,Towning tugs,1.0,450.0,Renewable
316,Transport barges,1.0,400.0,Renewable
316,Crane,2.0,200.0,Renewable
317,Laborer,6.0,40.0,Renewable
317,Skipper,1.0,60.0,Renewable
317,Towning tugs,1.0,450.0,Renewable
317,Transport barges,1.0,400.0,Renewable
317,Crane,2.0,200.0,Renewable
318,Laborer,6.0,40.0,Renewable
318,Skipper,1.0,60.0,Renewable
318,Towning tugs,1.0,450.0,Renewable
318,Transport barges,1.0,400.0,Renewable
318,Crane,2.0,200.0,Renewable
319,Laborer,6.0,40.0,Renewable
319,Skipper,1.0,60.0,Renewable
319,Towning tugs,1.0,450.0,Renewable
319,Transport barges,1.0,400.0,Renewable
319,Crane,2.0,200.0,Renewable
320,Laborer,6.0,40.0,Renewable
320,Skipper,1.0,60.0,Renewable
320,Towning tugs,1.0,450.0,Renewable
320,Transport barges,1.0,400.0,Renewable
320,Crane,2.0,200.0,Renewable
321,Laborer,6.0,40.0,Renewable
321,Skipper,1.0,60.0,Renewable
321,Towning tugs,1.0,450.0,Renewable
321,Transport barges,1.0,400.0,Renewable
321,Crane,2.0,200.0,Renewable
322,Laborer,6.0,40.0,Renewable
322,Skipper,1.0,60.0,Renewable
322,Towning tugs,1.0,450.0,Renewable
322,Transport barges,1.0,400.0,Renewable
322,Crane,2.0,200.0,Renewable
323,Laborer,6.0,40.0,Renewable
323,Skipper,1.0,60.0,Renewable
323,Towning tugs,1.0,450.0,Renewable
323,Transport barges,1.0,400.0,Renewable
323,Crane,2.0,200.0,Renewable
324,Laborer,6.0,40.0,Renewable
324,Skipper,1.0,60.0,Renewable
324,Towning tugs,1.0,450.0,Renewable
324,Transport barges,1.0,400.0,Renewable
324,Crane,2.0,200.0,Renewable
325,Laborer,6.0,40.0,Renewable
325,Skipper,1.0,60.0,Renewable
325,Towning tugs,1.0,450.0,Renewable
325,Transport barges,1.0,400.0,Renewable
325,Crane,2.0,200.0,Renewable
326,Laborer,6.0,40.0,Renewable
326,Skipper,1.0,60.0,Renewable
326,Towning tugs,1.0,450.0,Renewable
326,Transport barges,1.0,400.0,Renewable
326,Crane,2.0,200.0,Renewable
327,Laborer,6.0,40.0,Renewable
327,Skipper,1.0,60.0,Renewable
327,Towning tugs,1.0,450.0,Renewable
327,Transport barges,1.0,400.0,Renewable
327,Crane,2.0,200.0,Renewable
328,Laborer,6.0,40.0,Renewable
328,Skipper,1.0,60.0,Renewable
328,Towning tugs,1.0,450.0,Renewable
328,Transport barges,1.0,400.0,Renewable
328,Crane,2.0,200.0,Renewable
329,Laborer,6.0,40.0,Renewable
329,Skipper,1.0,60.0,Renewable
329,Towning tugs,1.0,450.0,Renewable
329,Transport barges,1.0,400.0,Renewable
329,Crane,2.0,200.0,Renewable
330,Laborer,6.0,40.0,Renewable
330,Skipper,1.0,60.0,Renewable
330,Towning tugs,1.0,450.0,Renewable
330,Transport barges,1.0,400.0,Renewable
330,Crane,2.0,200.0,Renewable
331,Laborer,6.0,40.0,Renewable
331,Skipper,1.0,60.0,Renewable
331,Towning tugs,1.0,450.0,Renewable
331,Transport barges,1.0,400.0,Renewable
331,Crane,2.0,200.0,Renewable
332,Laborer,6.0,40.0,Renewable
332,Skipper,1.0,60.0,Renewable
332,Towning tugs,1.0,450.0,Renewable
332,Transport barges,1.0,400.0,Renewable
332,Crane,2.0,200.0,Renewable
333,Laborer,6.0,40.0,Renewable
333,Skipper,1.0,60.0,Renewable
333,Towning tugs,1.0,450.0,Renewable
333,Transport barges,1.0,400.0,Renewable
333,Crane,2.0,200.0,Renewable
334,Laborer,6.0,40.0,Renewable
334,Skipper,1.0,60.0,Renewable
334,Towning tugs,1.0,450.0,Renewable
334,Transport barges,1.0,400.0,Renewable
334,Crane,2.0,200.0,Renewable
335,Laborer,6.0,40.0,Renewable
335,Skipper,1.0,60.0,Renewable
335,Towning tugs,1.0,450.0,Renewable
335,Transport barges,1.0,400.0,Renewable
335,Crane,2.0,200.0,Renewable
336,Laborer,6.0,40.0,Renewable
336,Skipper,1.0,60.0,Renewable
336,Towning tugs,1.0,450.0,Renewable
336,Transport barges,1.0,400.0,Renewable
336,Crane,2.0,200.0,Renewable
289,Laborer,22.0,40.0,Renewable
289,Skipper,1.0,60.0,Renewable
289,Engineer,6.0,160.0,Renewable
289,Vessel Rambiz,1.0,3620.0,Renewable
290,Laborer,22.0,40.0,Renewable
290,Skipper,1.0,60.0,Renewable
290,Engineer,6.0,160.0,Renewable
290,Vessel Rambiz,1.0,3620.0,Renewable
291,Laborer,22.0,40.0,Renewable
291,Skipper,1.0,60.0,Renewable
291,Engineer,6.0,160.0,Renewable
291,Vessel Rambiz,1.0,3620.0,Renewable
292,Laborer,22.0,40.0,Renewable
292,Skipper,1.0,60.0,Renewable
292,Engineer,6.0,160.0,Renewable
292,Vessel Rambiz,1.0,3620.0,Renewable
293,Laborer,22.0,40.0,Renewable
293,Skipper,1.0,60.0,Renewable
293,Engineer,6.0,160.0,Renewable
293,Vessel Rambiz,1.0,3620.0,Renewable
294,Laborer,22.0,40.0,Renewable
294,Skipper,1.0,60.0,Renewable
294,Engineer,6.0,160.0,Renewable
294,Vessel Rambiz,1.0,3620.0,Renewable
295,Laborer,22.0,40.0,Renewable
295,Skipper,1.0,60.0,Renewable
295,Engineer,6.0,160.0,Renewable
295,Vessel Rambiz,1.0,3620.0,Renewable
296,Laborer,22.0,40.0,Renewable
296,Skipper,1.0,60.0,Renewable
296,Engineer,6.0,160.0,Renewable
296,Vessel Rambiz,1.0,3620.0,Renewable
297,Laborer,22.0,40.0,Renewable
297,Skipper,1.0,60.0,Renewable
297,Engineer,6.0,160.0,Renewable
297,Vessel Rambiz,1.0,3620.0,Renewable
298,Laborer,22.0,40.0,Renewable
298,Skipper,1.0,60.0,Renewable
298,Engineer,6.0,160.0,Renewable
298,Vessel Rambiz,1.0,3620.0,Renewable
299,Laborer,22.0,40.0,Renewable
299,Skipper,1.0,60.0,Renewable
299,Engineer,6.0,160.0,Renewable
299,Vessel Rambiz,1.0,3620.0,Renewable
300,Laborer,22.0,40.0,Renewable
300,Skipper,1.0,60.0,Renewable
300,Engineer,6.0,160.0,Renewable
300,Vessel Rambiz,1.0,3620.0,Renewable
301,Laborer,22.0,40.0,Renewable
301,Skipper,1.0,60.0,Renewable
301,Engineer,6.0,160.0,Renewable
301,Vessel Rambiz,1.0,3620.0,Renewable
302,Laborer,22.0,40.0,Renewable
302,Skipper,1.0,60.0,Renewable
302,Engineer,6.0,160.0,Renewable
302,Vessel Rambiz,1.0,3620.0,Renewable
303,Laborer,22.0,40.0,Renewable
303,Skipper,1.0,60.0,Renewable
303,Engineer,6.0,160.0,Renewable
303,Vessel Rambiz,1.0,3620.0,Renewable
304,Laborer,22.0,40.0,Renewable
304,Skipper,1.0,60.0,Renewable
304,Engineer,6.0,160.0,Renewable
304,Vessel Rambiz,1.0,3620.0,Renewable
305,Laborer,22.0,40.0,Renewable
305,Skipper,1.0,60.0,Renewable
305,Engineer,6.0,160.0,Renewable
305,Vessel Rambiz,1.0,3620.0,Renewable
306,Laborer,22.0,40.0,Renewable
306,Skipper,1.0,60.0,Renewable
306,Engineer,6.0,160.0,Renewable
306,Vessel Rambiz,1.0,3620.0,Renewable
307,Laborer,22.0,40.0,Renewable
307,Skipper,1.0,60.0,Renewable
307,Engineer,6.0,160.0,Renewable
307,Vessel Rambiz,1.0,3620.0,Renewable
308,Laborer,22.0,40.0,Renewable
308,Skipper,1.0,60.0,Renewable
308,Engineer,6.0,160.0,Renewable
308,Vessel Rambiz,1.0,3620.0,Renewable
309,Laborer,22.0,40.0,Renewable
309,Skipper,1.0,60.0,Renewable
309,Engineer,6.0,160.0,Renewable
309,Vessel Rambiz,1.0,3620.0,Renewable
310,Laborer,22.0,40.0,Renewable
310,Skipper,1.0,60.0,Renewable
310,Engineer,6.0,160.0,Renewable
310,Vessel Rambiz,1.0,3620.0,Renewable
311,Laborer,22.0,40.0,Renewable
311,Skipper,1.0,60.0,Renewable
311,Engineer,6.0,160.0,Renewable
311,Vessel Rambiz,1.0,3620.0,Renewable
312,Laborer,22.0,40.0,Renewable
312,Skipper,1.0,60.0,Renewable
312,Engineer,6.0,160.0,Renewable
312,Vessel Rambiz,1.0,3620.0,Renewable
265,Laborer,12.0,40.0,Renewable
265,Skipper,1.0,60.0,Renewable
265,Engineer,6.0,160.0,Renewable
265,Diving team,1.0,900.0,Renewable
265,Vessel Rambiz,1.0,3620.0,Renewable
266,Laborer,12.0,40.0,Renewable
266,Skipper,1.0,60.0,Renewable
266,Engineer,6.0,160.0,Renewable
266,Diving team,1.0,900.0,Renewable
266,Vessel Rambiz,1.0,3620.0,Renewable
267,Laborer,12.0,40.0,Renewable
267,Skipper,1.0,60.0,Renewable
267,Engineer,6.0,160.0,Renewable
267,Diving team,1.0,900.0,Renewable
267,Vessel Rambiz,1.0,3620.0,Renewable
268,Laborer,12.0,40.0,Renewable
268,Skipper,1.0,60.0,Renewable
268,Engineer,6.0,160.0,Renewable
268,Diving team,1.0,900.0,Renewable
268,Vessel Rambiz,1.0,3620.0,Renewable
269,Laborer,12.0,40.0,Renewable
269,Skipper,1.0,60.0,Renewable
269,Engineer,6.0,160.0,Renewable
269,Diving team,1.0,900.0,Renewable
269,Vessel Rambiz,1.0,3620.0,Renewable
270,Laborer,12.0,40.0,Renewable
270,Skipper,1.0,60.0,Renewable
270,Engineer,6.0,160.0,Renewable
270,Diving team,1.0,900.0,Renewable
270,Vessel Rambiz,1.0,3620.0,Renewable
271,Laborer,12.0,40.0,Renewable
271,Skipper,1.0,60.0,Renewable
271,Engineer,6.0,160.0,Renewable
