id,project_id,task_id,task_name,baseline_start,baseline_end,duration_hours,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost,total_cost,created_at,updated_at
18,C2011-07,C2011-07_18,Final agreement with supplier,2010-12-28 01:00:00+00:00,2010-12-29 10:00:00+00:00,16.00,500.48,0.00,0.00,0.00,10.06,20.52,7.70,5.13,20.52,15.39,12.83,0.00,7.70,2.56,5.13,10.26,10.26,12.83,7.70,7.70,7.70,10.26,12.83,12.83,10.26,5.13,5.13,2.56,2.56,2.56,10.26,17.96,7.70,7.70,10.26,2.56,0.00,15.39,800.42,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
19,C2011-07,C2011-07_19,Signing contract,2010-12-30 01:00:00+00:00,2010-12-30 05:00:00+00:00,4.00,373.52,55000.00,0.00,0.00,1113.01,2270.54,851.45,567.63,2270.54,1702.90,1419.09,0.00,851.45,283.82,567.63,1135.27,1135.27,1419.09,851.45,851.45,851.45,1135.27,1419.09,1419.09,1135.27,567.63,567.63,283.82,283.82,283.82,1135.27,1986.72,851.45,851.45,1135.27,283.82,0.00,1702.90,88557.88,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
20,C2011-07,C2011-07_20,Meeting with ICT committee,2010-04-26 01:00:00+00:00,2010-04-27 10:00:00+00:00,16.00,2710.08,0.00,0.00,0.00,54.47,111.12,41.67,27.78,111.12,83.34,69.45,0.00,41.67,13.89,27.78,55.56,55.56,69.45,41.67,41.67,41.67,55.56,69.45,69.45,55.56,27.78,27.78,13.89,13.89,13.89,55.56,97.23,41.67,41.67,55.56,13.89,0.00,83.34,4334.12,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
21,C2011-07,C2011-07_21,Contacting Siemens and sending proposal,2010-05-07 01:00:00+00:00,2010-05-11 10:00:00+00:00,24.00,750.72,0.00,0.00,0.00,15.09,30.78,11.54,7.70,30.78,23.09,19.24,0.00,11.54,3.85,7.70,15.39,15.39,19.24,11.54,11.54,11.54,15.39,19.24,19.24,15.39,7.70,7.70,3.85,3.85,3.85,15.39,26.93,11.54,11.54,15.39,3.85,0.00,23.09,1200.61,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
22,C2011-07,C2011-07_22,Discussing project development with supplier,2010-05-26 01:00:00+00:00,2010-05-27 10:00:00+00:00,16.00,500.48,0.00,0.00,0.00,10.06,20.52,7.70,5.13,20.52,15.39,12.83,0.00,7.70,2.56,5.13,10.26,10.26,12.83,7.70,7.70,7.70,10.26,12.83,12.83,10.26,5.13,5.13,2.56,2.56,2.56,10.26,17.96,7.70,7.70,10.26,2.56,0.00,15.39,800.42,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
23,C2011-07,C2011-07_23,Discussing progress with board,2010-06-04 01:00:00+00:00,2010-06-04 03:00:00+00:00,2.00,931.96,0.00,0.00,0.00,18.73,38.21,14.33,9.55,38.21,28.66,23.88,0.00,14.33,4.78,9.55,19.11,19.11,23.88,14.33,14.33,14.33,19.11,23.88,23.88,19.11,9.55,9.55,4.78,4.78,4.78,19.11,33.44,14.33,14.33,19.11,4.78,0.00,28.66,1490.46,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
24,C2011-07,C2011-07_24,Discussing progress with ICT committee,2010-06-08 03:00:00+00:00,2010-06-08 08:00:00+00:00,4.00,677.52,0.00,0.00,0.00,13.62,27.78,10.42,6.95,27.78,20.84,17.36,0.00,10.42,3.47,6.95,13.89,13.89,17.36,10.42,10.42,10.42,13.89,17.36,17.36,13.89,6.95,6.95,3.47,3.47,3.47,13.89,24.31,10.42,10.42,13.89,3.47,0.00,20.84,1083.56,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
25,C2011-07,C2011-07_25,Final agreement with supplier,2010-06-14 01:00:00+00:00,2010-06-14 05:00:00+00:00,4.00,125.12,0.00,0.00,0.00,2.52,5.13,1.92,1.28,5.13,3.85,3.21,0.00,1.92,0.64,1.28,2.56,2.56,3.21,1.92,1.92,1.92,2.56,3.21,3.21,2.56,1.28,1.28,0.64,0.64,0.64,2.56,4.49,1.92,1.92,2.56,0.64,0.00,3.85,200.05,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
26,C2011-07,C2011-07_26,Signing contract,2010-06-14 06:00:00+00:00,2010-06-14 10:00:00+00:00,4.00,373.52,18120.00,0.00,0.00,371.72,758.31,284.37,189.58,758.31,568.73,473.94,0.00,284.37,94.79,189.58,379.15,379.15,473.94,284.37,284.37,284.37,379.15,473.94,473.94,379.15,189.58,189.58,94.79,94.79,94.79,379.15,663.52,284.37,284.37,379.15,94.79,0.00,568.73,29576.36,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
27,C2011-07,C2011-07_27,Information session,2011-01-06 01:00:00+00:00,2011-01-06 03:00:00+00:00,2.00,1208.16,0.00,0.00,0.00,24.28,49.54,18.58,12.38,49.54,37.16,30.96,0.00,18.58,6.19,12.38,24.77,24.77,30.96,18.58,18.58,18.58,24.77,30.96,30.96,24.77,12.38,12.38,6.19,6.19,6.19,24.77,43.35,18.58,18.58,24.77,6.19,0.00,37.16,1932.18,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
28,C2011-07,C2011-07_28,Explanation project implementation to staff,2011-01-06 08:00:00+00:00,2011-01-06 10:00:00+00:00,2.00,5199.84,0.00,0.00,0.00,104.52,213.21,79.95,53.30,213.21,159.91,133.26,0.00,79.95,26.65,53.30,106.61,106.61,133.26,79.95,79.95,79.95,106.61,133.26,133.26,106.61,53.30,53.30,26.65,26.65,26.65,106.61,186.56,79.95,79.95,106.61,26.65,0.00,159.91,8315.96,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
29,C2011-07,C2011-07_29,Installation transport system,2011-01-07 01:00:00+00:00,2011-01-14 10:00:00+00:00,48.00,2651.52,0.00,0.00,0.00,53.30,108.72,40.77,27.18,108.72,81.54,67.95,0.00,40.77,13.59,27.18,54.36,54.36,67.95,40.77,40.77,40.77,54.36,67.95,67.95,54.36,27.18,27.18,13.59,13.59,13.59,54.36,95.13,40.77,40.77,54.36,13.59,0.00,81.54,4240.49,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
30,C2011-07,C2011-07_30,Installation DACS,2011-01-07 01:00:00+00:00,2011-01-14 10:00:00+00:00,48.00,2651.52,0.00,0.00,0.00,53.30,108.72,40.77,27.18,108.72,81.54,67.95,0.00,40.77,13.59,27.18,54.36,54.36,67.95,40.77,40.77,40.77,54.36,67.95,67.95,54.36,27.18,27.18,13.59,13.59,13.59,54.36,95.13,40.77,40.77,54.36,13.59,0.00,81.54,4240.49,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
31,C2011-07,C2011-07_31,Training coordinator,2011-01-10 01:00:00+00:00,2011-01-10 10:00:00+00:00,8.00,250.24,1000.00,0.00,0.00,25.13,51.27,19.22,12.82,51.27,38.45,32.04,0.00,19.22,6.41,12.82,25.63,25.63,32.04,19.22,19.22,19.22,25.63,32.04,32.04,25.63,12.82,12.82,6.41,6.41,6.41,25.63,44.86,19.22,19.22,25.63,6.41,0.00,38.45,1999.48,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
32,C2011-07,C2011-07_32,Train de trainer,2011-01-11 01:00:00+00:00,2011-01-11 10:00:00+00:00,8.00,250.24,1000.00,0.00,0.00,25.13,51.27,19.22,12.82,51.27,38.45,32.04,0.00,19.22,6.41,12.82,25.63,25.63,32.04,19.22,19.22,19.22,25.63,32.04,32.04,25.63,12.82,12.82,6.41,6.41,6.41,25.63,44.86,19.22,19.22,25.63,6.41,0.00,38.45,1999.48,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
33,C2011-07,C2011-07_33,Training rapportage,2011-06-21 01:00:00+00:00,2011-06-21 10:00:00+00:00,8.00,250.24,500.00,0.00,0.00,15.08,30.76,11.54,7.69,30.76,23.07,19.23,0.00,11.54,3.85,7.69,15.38,15.38,19.23,11.54,11.54,11.54,15.38,19.23,19.23,15.38,7.69,7.69,3.85,3.85,3.85,15.38,26.92,11.54,11.54,15.38,3.85,0.00,23.07,1199.89,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
34,C2011-07,C2011-07_34,Surveying the required functionalities,2011-01-07 01:00:00+00:00,2011-01-07 10:00:00+00:00,8.00,4533.76,0.00,0.00,0.00,91.13,185.90,69.71,46.48,185.90,139.43,116.19,0.00,69.71,23.24,46.48,92.95,92.95,116.19,69.71,69.71,69.71,92.95,116.19,116.19,92.95,46.48,46.48,23.24,23.24,23.24,92.95,162.66,69.71,69.71,92.95,23.24,0.00,139.43,7250.76,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
35,C2011-07,C2011-07_35,Creating codes,2011-02-11 01:00:00+00:00,2011-02-14 10:00:00+00:00,16.00,942.40,0.00,0.00,0.00,18.94,38.64,14.49,9.66,38.64,28.98,24.15,0.00,14.49,4.83,9.66,19.32,19.32,24.15,14.49,14.49,14.49,19.32,24.15,24.15,19.32,9.66,9.66,4.83,4.83,4.83,19.32,33.81,14.49,14.49,19.32,4.83,0.00,28.98,1507.13,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
36,C2011-07,C2011-07_36,Registration data about employees,2011-01-17 01:00:00+00:00,2011-01-20 10:00:00+00:00,32.00,1000.96,0.00,0.00,0.00,20.12,41.04,15.39,10.26,41.04,30.78,25.65,0.00,15.39,5.13,10.26,20.52,20.52,25.65,15.39,15.39,15.39,20.52,25.65,25.65,20.52,10.26,10.26,5.13,5.13,5.13,20.52,35.91,15.39,15.39,20.52,5.13,0.00,30.78,1600.77,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
37,C2011-07,C2011-07_37,Registration hospital data,2011-02-15 01:00:00+00:00,2011-02-22 10:00:00+00:00,48.00,1501.44,0.00,0.00,0.00,30.18,61.56,23.09,15.39,61.56,46.17,38.48,0.00,23.09,7.70,15.39,30.78,30.78,38.48,23.09,23.09,23.09,30.78,38.48,38.48,30.78,15.39,15.39,7.70,7.70,7.70,30.78,53.87,23.09,23.09,30.78,7.70,0.00,46.17,2401.24,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
38,C2011-07,C2011-07_38,Training team 1,2011-02-24 01:00:00+00:00,2011-02-25 10:00:00+00:00,16.00,4784.00,0.00,0.00,0.00,96.16,196.16,73.56,49.04,196.16,147.12,122.60,0.00,73.56,24.52,49.04,98.08,98.08,122.60,73.56,73.56,73.56,98.08,122.60,122.60,98.08,49.04,49.04,24.52,24.52,24.52,98.08,171.64,73.56,73.56,98.08,24.52,0.00,147.12,7650.92,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
39,C2011-07,C2011-07_39,Training team 2,2011-02-28 01:00:00+00:00,2011-03-01 10:00:00+00:00,16.00,4784.00,0.00,0.00,0.00,96.16,196.16,73.56,49.04,196.16,147.12,122.60,0.00,73.56,24.52,49.04,98.08,98.08,122.60,73.56,73.56,73.56,98.08,122.60,122.60,98.08,49.04,49.04,24.52,24.52,24.52,98.08,171.64,73.56,73.56,98.08,24.52,0.00,147.12,7650.92,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
40,C2011-07,C2011-07_40,Training team 3,2011-03-02 01:00:00+00:00,2011-03-03 10:00:00+00:00,16.00,9008.64,0.00,0.00,0.00,181.07,369.39,138.52,92.35,369.39,277.04,230.87,0.00,138.52,46.17,92.35,184.69,184.69,230.87,138.52,138.52,138.52,184.69,230.87,230.87,184.69,92.35,92.35,46.17,46.17,46.17,184.69,323.22,138.52,138.52,184.69,46.17,0.00,277.04,14407.30,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
41,C2011-07,C2011-07_41,Training team 4,2011-03-04 01:00:00+00:00,2011-03-07 10:00:00+00:00,16.00,8508.16,0.00,0.00,0.00,171.01,348.87,130.83,87.22,348.87,261.65,218.04,0.00,130.83,43.61,87.22,174.43,174.43,218.04,130.83,130.83,130.83,174.43,218.04,218.04,174.43,87.22,87.22,43.61,43.61,43.61,174.43,305.26,130.83,130.83,174.43,43.61,0.00,261.65,13606.95,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
42,C2011-07,C2011-07_42,Training team 5,2011-03-08 01:00:00+00:00,2011-03-09 10:00:00+00:00,16.00,8508.16,0.00,0.00,0.00,171.01,348.87,130.83,87.22,348.87,261.65,218.04,0.00,130.83,43.61,87.22,174.43,174.43,218.04,130.83,130.83,130.83,174.43,218.04,218.04,174.43,87.22,87.22,43.61,43.61,43.61,174.43,305.26,130.83,130.83,174.43,43.61,0.00,261.65,13606.95,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
43,C2011-07,C2011-07_43,Training team 6,2011-03-10 01:00:00+00:00,2011-03-11 10:00:00+00:00,16.00,8508.16,0.00,0.00,0.00,171.01,348.87,130.83,87.22,348.87,261.65,218.04,0.00,130.83,43.61,87.22,174.43,174.43,218.04,130.83,130.83,130.83,174.43,218.04,218.04,174.43,87.22,87.22,43.61,43.61,43.61,174.43,305.26,130.83,130.83,174.43,43.61,0.00,261.65,13606.95,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
44,C2011-07,C2011-07_44,Check-up by PC,2011-02-23 01:00:00+00:00,2011-02-23 10:00:00+00:00,8.00,250.24,0.00,0.00,0.00,5.03,10.26,3.85,2.56,10.26,7.70,6.41,0.00,3.85,1.28,2.56,5.13,5.13,6.41,3.85,3.85,3.85,5.13,6.41,6.41,5.13,2.56,2.56,1.28,1.28,1.28,5.13,8.98,3.85,3.85,5.13,1.28,0.00,7.70,400.18,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
45,C2011-07,C2011-07_45,Check-up by ICT committee,2011-03-10 01:00:00+00:00,2011-03-10 10:00:00+00:00,8.00,1104.80,0.00,0.00,0.00,22.21,45.30,16.99,11.32,45.30,33.98,28.31,0.00,16.99,5.66,11.32,22.65,22.65,28.31,16.99,16.99,16.99,22.65,28.31,28.31,22.65,11.32,11.32,5.66,5.66,5.66,22.65,39.64,16.99,16.99,22.65,5.66,0.00,33.98,1766.86,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
46,C2011-07,C2011-07_46,Live pilot period,2011-03-14 01:00:00+00:00,2011-06-20 10:00:00+00:00,568.00,0.00,500.00,0.00,0.00,10.05,20.50,7.69,5.13,20.50,15.38,12.81,0.00,7.69,2.56,5.13,10.25,10.25,12.81,7.69,7.69,7.69,10.25,12.81,12.81,10.25,5.13,5.13,2.56,2.56,2.56,10.25,17.94,7.69,7.69,10.25,2.56,0.00,15.38,799.64,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
47,C2011-07,C2011-07_47,Discussing project with board,2011-06-22 01:00:00+00:00,2011-06-22 03:00:00+00:00,2.00,931.96,0.00,0.00,0.00,18.73,38.21,14.33,9.55,38.21,28.66,23.88,0.00,14.33,4.78,9.55,19.11,19.11,23.88,14.33,14.33,14.33,19.11,23.88,23.88,19.11,9.55,9.55,4.78,4.78,4.78,19.11,33.44,14.33,14.33,19.11,4.78,0.00,28.66,1490.46,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
48,C2011-07,C2011-07_48,Discussing project with head nurses,2011-06-28 06:00:00+00:00,2011-06-28 10:00:00+00:00,4.00,8257.92,0.00,0.00,0.00,165.98,338.61,126.98,84.65,338.61,253.96,211.63,0.00,126.98,42.33,84.65,169.30,169.30,211.63,126.98,126.98,126.98,169.30,211.63,211.63,169.30,84.65,84.65,42.33,42.33,42.33,169.30,296.28,126.98,126.98,169.30,42.33,0.00,253.96,13206.75,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
49,C2011-07,C2011-07_49,Enrollment of the entire project,2011-06-29 01:00:00+00:00,2011-06-29 10:00:00+00:00,8.00,250.24,0.00,0.00,0.00,5.03,10.26,3.85,2.56,10.26,7.70,6.41,0.00,3.85,1.28,2.56,5.13,5.13,6.41,3.85,3.85,3.85,5.13,6.41,6.41,5.13,2.56,2.56,1.28,1.28,1.28,5.13,8.98,3.85,3.85,5.13,1.28,0.00,7.70,400.18,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
