task_id,task_name,baseline_start,g7_dur_months,g7_dur_weeks,g7_dur_days,g7_dur_hours,g7_ot_hours,complexity,weather_contingency,general_contingency,rework_risk,risk_factor,base_cost,total_cost,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost
C2012-04_11,Placement formworks and concrete casting,2012-05-04 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,7590.0,9487.500000000002,2160.0,3000.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_12,Culverts concrete aging,2012-05-07 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_19,Road embankments,2012-05-07 07:00:00,0,0,17,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,254665.0,318331.25000000006,91800.0,55000.0,107865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_20,Sound barriers,2012-05-30 07:00:00,0,0,2,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,30470.0,38087.50000000001,4320.0,23000.0,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_17,Digging,2012-05-30 07:00:00,0,0,8,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,88272.0,110340.00000000001,38880.0,0.0,49392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_22,Longitudinal drains (ditches),2012-06-11 07:00:00,0,0,5,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,24585.0,30731.250000000007,10800.0,1500.0,12285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_24,Plinths excavation,2012-06-18 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,4932.0,6165.000000000001,2160.0,0.0,2772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_25,Pouring piles frameworks and drilling,2012-06-19 07:00:00,0,0,4,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,217540.0,271925.00000000006,12960.0,190000.0,14580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_26,Piles concrete aging,2012-06-25 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_27,Making of plinths (pouring frameworks and concrete casting),2012-07-09 07:00:00,0,0,2,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,109180.0,136475.00000000003,4320.0,100000.0,4860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_28,Plinths concrete aging,2012-07-11 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_29,Making of pylons (pouring frameworks and concrete casting),2012-07-25 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,15590.0,19487.500000000004,2160.0,11000.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_30,Pylons concrete aging,2012-07-26 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_31,Making of shoulders (pouring frameworks and concrete casting),2012-08-09 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,85590.0,106987.50000000001,2160.0,81000.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_32,Shoulders concrete aging,2012-08-10 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_33,Pouring prefabricated beam,2012-08-24 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,55735.0,69668.75000000001,2160.0,52000.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_34,Making of slab (pouring frameworks and concrete casting),2012-08-27 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,28630.0,35787.50000000001,2700.0,23500.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_35,Slab's concrete aging,2012-08-28 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_36,Making of embankments,2012-09-11 07:00:00,0,0,12,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,87120.0,108900.00000000001,32400.0,18000.0,36720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_41,Demolitions,2012-06-18 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,4950.0,6187.500000000001,1620.0,0.0,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_42,Topsoil removal and clearing subbase,2012-06-19 07:00:00,0,0,5,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,17325.0,21656.250000000004,8100.0,0.0,9225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_38,Embankments,2012-06-26 07:00:00,0,0,19,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,291755.0,364693.75000000006,102600.0,68600.0,120555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_39,Sound barriers,2012-07-23 07:00:00,0,0,2,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,20070.0,25087.500000000004,4320.0,12600.0,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_63,Manhole covers,2012-06-19 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,8655.0,10818.750000000002,1080.0,6000.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_62,Catch water drains,2012-07-25 07:00:00,0,0,3,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,30741.0,38426.25000000001,6480.0,15000.0,9261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_66,Retaining walls (frameworks and concrete casting),2012-07-30 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,93130.0,116412.50000000001,2700.0,88000.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_67,Retaining walls concrete aging,2012-07-31 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_68,Pouring prefabricated beams,2012-08-14 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,53735.0,67168.75000000001,2160.0,50000.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_69,Making of slabs (frameworks pouring and concrete casting),2012-08-15 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,12275.0,15343.750000000002,2700.0,8000.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_70,Slabs concrete aging,2012-08-16 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_82,Demolitions,2012-08-30 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,4950.0,6187.500000000001,1620.0,0.0,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_83,Topsoil removal and subbase clearing,2012-08-31 07:00:00,0,0,12,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,55620.0,69525.00000000001,25920.0,0.0,29700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_75,Embankments,2012-09-18 07:00:00,0,0,42,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,626864.0,783580.0000000001,226800.0,140000.0,260064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_73,Terracing,2012-11-15 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,5634.0,7042.500000000001,1620.0,1800.0,2214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_72,Carrying remaining soil,2012-11-16 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,11592.0,14490.000000000002,5400.0,0.0,6192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_80,Culverts,2012-09-18 07:00:00,0,0,2,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,13390.0,16737.500000000004,3240.0,7000.0,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_78,Catch water drains,2012-11-15 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,25247.0,31558.750000000007,2160.0,20000.0,3087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_77,Draining trenches,2012-11-15 07:00:00,0,0,2,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,11754.0,14692.500000000002,3240.0,3600.0,4914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_48,Demolitions,2012-11-19 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,4950.0,6187.500000000001,1620.0,0.0,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_49,Topsoil removal and clearing subbase,2012-11-20 07:00:00,0,0,3,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,10395.0,12993.750000000002,4860.0,0.0,5535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_46,Embankments,2012-11-23 07:00:00,0,0,10,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,147920.0,184900.00000000003,54000.0,32000.0,61920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_44,Catch water drains,2012-12-07 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,15247.0,19058.750000000004,2160.0,10000.0,3087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_58,Demolitions,2012-12-10 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,4950.0,6187.500000000001,1620.0,0.0,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_59,Topsoil removal and clearing subbase,2012-12-11 07:00:00,0,0,9,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,41715.0,52143.75000000001,19440.0,0.0,22275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_52,Terracing,2012-12-24 07:00:00,0,0,6,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,38004.0,47505.00000000001,9720.0,15000.0,13284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_51,Carrying remaining soil,2013-01-01 07:00:00,0,0,8,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,78912.0,98640.00000000001,34560.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
