task_id,role,quantity,hourly_rate,type
72,Sheepfoot rolles,1.0,70.0,Renewable
72,Tank Truck,1.0,78.0,Renewable
80,Labourers,3.0,60.0,Renewable
80,Crane,1.0,105.0,Renewable
80,Truck IVECO Trakker,1.0,70.0,Renewable
78,Labourers,4.0,60.0,Renewable
78,Truck IVECO Trakker,2.0,70.0,Renewable
78,Crawler Excavator,1.0,98.0,Renewable
78,Crane,1.0,105.0,Renewable
77,Labourers,3.0,60.0,Renewable
77,Truck IVECO Trakker,1.0,70.0,Renewable
77,Crawler Excavator,1.0,98.0,Renewable
77,Crane,1.0,105.0,Renewable
48,Labourers,3.0,60.0,Renewable
48,Truck IVECO Trakker,2.0,70.0,Renewable
48,Cold Milling Machine,1.0,230.0,Renewable
49,Labourers,3.0,60.0,Renewable
49,Truck IVECO Trakker,1.0,70.0,Renewable
49,Wheel Loader,1.0,60.0,Renewable
49,Bulldozer D8T,1.0,75.0,Renewable
46,Labourers,10.0,60.0,Renewable
46,Truck IVECO Trakker,6.0,70.0,Renewable
46,Wheel Loader,2.0,60.0,Renewable
46,Sheepfoot rolles,1.0,70.0,Renewable
46,Tank Truck,1.0,78.0,Renewable
44,Labourers,4.0,60.0,Renewable
44,Truck IVECO Trakker,2.0,70.0,Renewable
44,Crawler Excavator,1.0,98.0,Renewable
44,Crane,1.0,105.0,Renewable
58,Labourers,3.0,60.0,Renewable
58,Truck IVECO Trakker,2.0,70.0,Renewable
58,Cold Milling Machine,1.0,230.0,Renewable
59,Labourers,4.0,60.0,Renewable
59,Bulldozer D8T,1.0,75.0,Renewable
59,Truck IVECO Trakker,2.0,70.0,Renewable
59,Wheel Loader,1.0,60.0,Renewable
52,Labourers,3.0,60.0,Renewable
52,Crawler Excavator,1.0,98.0,Renewable
52,Sheepfoot rolles,1.0,70.0,Renewable
52,Tank Truck,1.0,78.0,Renewable
51,Labourers,8.0,60.0,Renewable
51,Truck IVECO Trakker,6.0,70.0,Renewable
51,Crawler Excavator,2.0,98.0,Renewable
55,Labourers,3.0,60.0,Renewable
55,Crawler Excavator,1.0,98.0,Renewable
55,Truck IVECO Trakker,1.0,70.0,Renewable
55,Crane,1.0,105.0,Renewable
56,Labourers,4.0,60.0,Renewable
56,Truck IVECO Trakker,2.0,70.0,Renewable
56,Crawler Excavator,1.0,98.0,Renewable
56,Crane,1.0,105.0,Renewable
85,Labourers,7.0,60.0,Renewable
85,Truck IVECO Trakker,5.0,70.0,Renewable
85,Paler,1.0,65.0,Renewable
85,Smooth Roller,1.0,60.0,Renewable
86,Labourers,4.0,60.0,Renewable
86,Truck IVECO Trakker,1.0,70.0,Renewable
86,Pile Driver,1.0,48.0,Renewable
87,Labourers,5.0,60.0,Renewable
87,Truck IVECO Trakker,2.0,70.0,Renewable
87,Wheel Loader,2.0,60.0,Renewable
87,Pruning Machine,1.0,40.0,Renewable
88,Labourers,3.0,60.0,Renewable
88,Truck IVECO Trakker,1.0,70.0,Renewable
89,Labourers,2.0,60.0,Renewable
89,Truck IVECO Trakker,1.0,70.0,Renewable
89,Line Striper Machine,1.0,30.0,Renewable
91,Labourers,2.0,60.0,Renewable
91,Truck IVECO Trakker,1.0,70.0,Renewable
92,Labourers,2.0,60.0,Renewable
92,Truck IVECO Trakker,1.0,70.0,Renewable
92,Crane,1.0,105.0,Renewable
93,Labourers,2.0,60.0,Renewable
93,Truck IVECO Trakker,1.0,70.0,Renewable
93,Wheel Loader,1.0,60.0,Renewable
94,Labourers,2.0,60.0,Renewable
94,Truck IVECO Trakker,1.0,70.0,Renewable
