task_id,task_name,baseline_start,g1_labor,g1_material,g1_subcontract,g1_fuel,g1_qa_qc,g2_training,g2_space,g2_communication,g2_utility,g4_insurance,g4_license,g4_warranty,g5_complexity,g5_weather,g5_contingency,g5_rework,g6_storage,g6_int_transport,g6_handling,g6_recovery,g7_dur_months,g7_dur_weeks,g7_dur_days,g7_dur_hours,g7_ot_hours
14,11. Asking city for blue prints power network,2019-04-10 08:00:00,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,20.0,0.0,0.0
15,12. Meeting with car leasers + quotation,2019-04-10 08:00:00,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,25.0,0.0,0.0
16,13. Meeting with docking station suppliers,2019-05-08 08:00:00,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,25.0,0.0,0.0
17,14. Meeting with possible contractors,2019-06-12 08:00:00,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,10.0,0.0,0.0
19,15. Web/app developer search,2019-04-03 08:00:00,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,5.0,0.0,0.0
20,16. Developing website/app,2019-04-10 08:00:00,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,70.0,0.0,0.0
21,17. Developing payment system,2019-07-17 08:00:00,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,55.0,0.0,0.0
22,18. Testing & approving app,2019-10-02 08:00:00,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,15.0,0.0,0.0
23,19. Testing & approving payment system,2019-10-02 08:00:00,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,15.0,0.0,0.0
25,20. Negotiate maintenance contract with possible partners,2019-06-19 08:00:00,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,20.0,0.0,0.0
27,21. Drilling the holes where the charging blocks will be put by Eandis and where the traffic signs will be put,2019-06-26 08:00:00,0.0,0.0,10599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0
28,22. Delivery and placing of the charging blocks (UwLaadpunt),2019-07-12 08:00:00,0.0,0.0,78715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0
29,23. Access power network: connecting charging blocks to power grid (Eandis),2019-07-30 08:00:00,0.0,0.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0
30,24. Installation of visibility marks (Trafiroad),2019-07-30 08:00:00,0.0,0.0,2480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,6.0,0.0,0.0
31,25. Installation of trafic signs (Trafiroad),2019-07-30 08:00:00,0.0,0.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,6.0,0.0,0.0
32,26. Testing of the charging blocks,2019-08-15 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,6.0,0.0,0.0
34,27. Delivery cars,2019-08-23 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,144000.0,0.0,0.0,0,0,6.0,0.0,0.0
36,28. Placing cars,2019-09-02 08:00:00,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,5.0,0.0,0.0
37,29. Final testing of the finished system,2019-09-09 08:00:00,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,20.0,0.0,0.0
39,30. Publicity campaign for our company,2019-10-07 08:00:00,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,15.0,0.0,0.0
41,31. Payment of Web/app developers,2019-10-23 08:00:00,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
42,32. Payment 'UwLaadpunt',2019-07-30 08:00:00,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
43,33. Payment 'Eandis',2019-08-15 08:00:00,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
44,34. Payment 'Traffiroad',2019-08-07 08:00:00,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
45,35. Payment of the construction firm,2019-07-12 08:00:00,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
46,36. Payment carleasing,2019-09-02 08:00:00,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
48,37. Launch,2019-10-23 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
