task_id,task_name,baseline_start,g1_labor,g1_ot,g1_fuel,g1_qa_qc,g1_material,g1_subcontract,g2_training,g2_space,g2_comm,g2_utility,g4_insurance,g4_license,g4_warranty,g5_complexity,g5_weather,g5_contingency,g5_rework,g6_storage,g6_int_transport,g6_handling,g6_recovery,g6_error,g7_dur_months,g7_dur_weeks,g7_dur_days,g7_dur_hours,g7_ot_hours
17,Discussing project development with board,2010-11-15 13:00:00,1863.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0.0
18,Final agreement with supplier,2010-12-28 08:00:00,500.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
19,Signing contract,2010-12-30 08:00:00,373.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27500.0,27500.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0.0
20,Meeting with ICT committee,2010-04-26 08:00:00,2710.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
21,Contacting Siemens and sending proposal,2010-05-07 08:00:00,750.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0.0
22,Discussing project development with supplier,2010-05-26 08:00:00,500.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
23,Discussing progress with board,2010-06-04 08:00:00,931.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0
24,Discussing progress with ICT committee,2010-06-08 10:00:00,677.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0.0
25,Final agreement with supplier,2010-06-14 08:00:00,125.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0.0
26,Signing contract,2010-06-14 13:00:00,373.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9060.0,9060.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0.0
27,Information session,2011-01-06 08:00:00,1208.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0
28,Explanation project implementation to staff,2011-01-06 15:00:00,5199.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0
29,Installation transport system,2011-01-07 08:00:00,2651.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0.0
30,Installation DACS,2011-01-07 08:00:00,2651.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0.0
31,Training coordinator,2011-01-10 08:00:00,250.24,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
32,Train de trainer,2011-01-11 08:00:00,250.24,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
33,Training rapportage,2011-06-21 08:00:00,250.24,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
34,Surveying the required functionalities,2011-01-07 08:00:00,4533.759999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
35,Creating codes,2011-02-11 08:00:00,942.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
36,Registration data about employees,2011-01-17 08:00:00,1000.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0.0
37,Registration hospital data,2011-02-15 08:00:00,1501.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0.0
38,Training team 1,2011-02-24 08:00:00,4784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
39,Training team 2,2011-02-28 08:00:00,4784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
40,Training team 3,2011-03-02 08:00:00,9008.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
41,Training team 4,2011-03-04 08:00:00,8508.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
42,Training team 5,2011-03-08 08:00:00,8508.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
43,Training team 6,2011-03-10 08:00:00,8508.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0
44,Check-up by PC,2011-02-23 08:00:00,250.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
45,Check-up by ICT committee,2011-03-10 08:00:00,1104.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
46,Live pilot period,2011-03-14 08:00:00,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,71,0,0.0
47,Discussing project with board,2011-06-22 08:00:00,931.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0
48,Discussing project with head nurses,2011-06-28 13:00:00,8257.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0.0
49,Enrollment of the entire project,2011-06-29 08:00:00,250.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
